names,scores,logfoldchanges,pvals,pvals_adj
GTDC1,-1.2728381,-0.5596104,0.2030754748165845,0.7376524720457718
LRTOMT,-1.2730113,-0.33651522,0.20301400906518874,0.7375090810255958
ZNF525,-1.273098,-1.3587902,0.20298328127108423,0.7374773358541461
ZNF776,-1.273401,-0.99237156,0.20287576066764368,0.7371665505169483
GEMIN4,-1.2734444,-1.7848288,0.20286040396861837,0.7371665505169483
PXMP2,-1.2736175,-1.28255,0.20279898563975307,0.7370472887284394
SURF6,-1.2739639,0.09760995,0.20267618962102885,0.7366808331537948
USP6NL,-1.2740506,-1.0675292,0.2026454990819715,0.7366491164330327
IFFO1,-1.2740939,-0.036561616,0.20263015508218762,0.7366491164330327
F12,-1.2747433,-0.4813543,0.20240009665211423,0.735916569982503
OSBPL10,-1.2748733,-1.3079628,0.20235410781553398,0.7358291302089753
ARL17A,-1.2759991,-2.583487,0.20195585684493345,0.734460586300735
SMARCC2,-1.2763888,-0.36952972,0.20181813395066184,0.7340393207284781
GLYCTK,-1.2767352,-0.61918664,0.20169577109592118,0.7336738363356837
TTBK2,-1.2779475,-0.73125964,0.2012679271125235,0.7321969562316751
EPG5,-1.2781208,-0.12921914,0.20120686062430682,0.7320542082466915
TVP23B,-1.2784672,-1.2716136,0.20108476819690813,0.7316893735258658
PLEKHG4B,-1.27903,-4.149158,0.20088648329306036,0.7310471871400454
UGGT2,-1.2796363,-0.21378124,0.2006731052974836,0.7303499300561047
C6orf132,-1.2810651,-1.2731346,0.2001707974356799,0.728600847015176
ENTPD1,-1.2814115,0.20709682,0.20004916420123575,0.7282371506546232
KLHL8,-1.2814981,-0.27190968,0.2000187643271042,0.7282055273558858
FCF1,-1.2819312,-0.87661874,0.19986681555600527,0.727731327773022
TTC12,-1.2820177,-1.8065069,0.19983643592067146,0.7276997163851769
ANKEF1,-1.2827106,-1.79207,0.19959352024000165,0.7268940690421517
CD109,-1.2828836,-0.45376262,0.1995328250372307,0.726751942452068
INAFM1,-1.2830569,-0.25893572,0.19947214331906815,0.7266098341082772
FKBPL,-1.28349,-2.1642165,0.19932049801110663,0.7261363091784157
SEMA7A,-1.283793,-0.671258,0.19921439642720118,0.7258286178571942
TMEM185B,-1.2839229,-0.9158966,0.1991689369562084,0.7257418304690697
ANK3,-1.2840961,-0.10807754,0.19910833612098355,0.7255998453575514
SBK1,-1.2842693,-1.1976069,0.1990477487621244,0.725457878502948
ADAT1,-1.2844858,-0.35141313,0.19897203351289183,0.7252607390452523
RNF139-AS1,-1.2848755,-0.49600175,0.19883579911545712,0.7248429381232827
MAK16,-1.284962,-0.79245865,0.1988055340667384,0.7248113927090197
ZBTB14,-1.2850053,-0.7464807,0.19879040280524385,0.7248113927090197
JADE3,-1.2853518,-0.9013172,0.19866938301960912,0.7244725201382679
DMWD,-1.2853518,0.01921683,0.19866938301960912,0.7244725201382679
ABHD17C,-1.2856116,-0.75140655,0.1985786535338745,0.7242991715300797
MMP17,-1.2857414,-0.8466178,0.1985333001532148,0.7242125103913986
FARS2,-1.2857847,-0.24369822,0.19851818404282817,0.7242125103913986
AKT3,-1.2858281,-0.39682257,0.19850306877399393,0.7242125103913986
CHI3L2,-1.2860013,-0.8391473,0.19844261611381175,0.7241179914291174
HERC3,-1.2868673,-0.77936554,0.1981405547395454,0.7230944423128263
SOCS5,-1.2876034,-0.1808948,0.19788406709972262,0.7222370053749589
F8A1,-1.2890322,-1.3492689,0.1973868728841055,0.7205007556363877
IL1RN,-1.2891622,-1.1462753,0.197341718788566,0.7204143425199658
WIPI1,-1.2892054,0.15874214,0.19732666910361518,0.7204143425199658
QTRT2,-1.2894653,-0.60857797,0.1972363886350058,0.720186608823171
TMEM209,-1.2896384,-0.23907664,0.1971762184556064,0.7200452977530627
PHLPP1,-1.2903312,-2.740349,0.19693567210946428,0.7192451890675393
KLRG2,-1.2903312,-2.4593184,0.19693567210946428,0.7192451890675393
PPP1R16B,-1.2905477,-0.52924895,0.19686054545873932,0.7191274342223286
KDM6A,-1.2910241,0.19563457,0.1966953407001294,0.71860221529422
ZNF239,-1.2912838,-0.99472123,0.19660527181935272,0.7183514115129591
ALDH1A3,-1.2912838,-0.07116696,0.19660527181935272,0.7183514115129591
IGHG2,-1.2913271,-0.037019886,0.19659026327647755,0.7183514115129591
IL33,-1.2914138,-0.28925115,0.1965602487082052,0.7183514115129591
ALOX12-AS1,-1.2918035,-3.4797666,0.19642522468564205,0.7180064507364646
ST7,-1.2926694,-1.0957075,0.19612541458019495,0.7169886804219074
